Date,Open,High,Low,Close,Volume
07-09-1984,0.0992653,0.100484,0.0980668,0.0992653,99149603
10-09-1984,0.0992653,0.0995698,0.0968786,0.098676,76956267
11-09-1984,0.0995698,0.102271,0.0995698,0.100484,181467446
12-09-1984,0.100484,0.101071,0.0974581,0.0974581,158527291
13-09-1984,0.10288,0.103173,0.10288,0.10288,246900394
14-09-1984,0.103173,0.10676,0.103173,0.104363,293981051
17-09-1984,0.107073,0.108567,0.107073,0.107073,229535149
18-09-1984,0.107073,0.107957,0.103173,0.103173,115874598
19-09-1984,0.103173,0.104363,0.101071,0.101071,126571111
20-09-1984,0.101368,0.102271,0.101368,0.101368,78796873
21-09-1984,0.101368,0.104363,0.0992653,0.100484,118888762
24-09-1984,0.100484,0.101071,0.0995698,0.0995698,94081449
25-09-1984,0.0992653,0.0992653,0.0974581,0.0974581,198619295
26-09-1984,0.0974581,0.101955,0.0962794,0.0962794,132146124
27-09-1984,0.0962794,0.0968786,0.0962794,0.0962794,126144312
28-09-1984,0.0962794,0.0962794,0.0920757,0.0938731,277949593
01-10-1984,0.0935884,0.0935884,0.0917714,0.0917714,116434743
02-10-1984,0.0923707,0.0956707,0.0923707,0.0923707,140815313
03-10-1984,0.0938731,0.0953661,0.0938731,0.0938731,143402813
04-10-1984,0.0950518,0.0956707,0.0950518,0.0950518,149431267
05-10-1984,0.0950518,0.0950518,0.0923707,0.0929793,116194699
08-10-1984,0.0929793,0.0935884,0.0929793,0.0929793,55936708
09-10-1984,0.0929793,0.0935884,0.0920757,0.0920757,149164503
10-10-1984,0.0920757,0.0920757,0.0893652,0.0893652,434476308
11-10-1984,0.0893652,0.0917714,0.0887757,0.0887757,217638288
12-10-1984,0.0887757,0.0893652,0.0842578,0.0848669,316521143
15-10-1984,0.0896599,0.0905634,0.0896599,0.0896599,289686439
16-10-1984,0.0896599,0.0899741,0.0893652,0.0893652,140548642
17-10-1984,0.0929793,0.0935884,0.0929793,0.0929793,186535701
18-10-1984,0.0956707,0.0962794,0.0956707,0.0956707,294327822
19-10-1984,0.0956707,0.102271,0.0953661,0.0956707,388355926
22-10-1984,0.0956707,0.0971633,0.0950518,0.0950518,136654147
23-10-1984,0.0971633,0.0980668,0.0971633,0.0971633,222012950
24-10-1984,0.0980668,0.0992653,0.0980668,0.0980668,198886043
25-10-1984,0.0980668,0.0980668,0.0944821,0.0944821,188349590
26-10-1984,0.0944821,0.0944821,0.0917714,0.0920757,136760798
29-10-1984,0.0923707,0.0929793,0.0923707,0.0923707,60311342
30-10-1984,0.0935884,0.0944821,0.0935884,0.0935884,88826521
31-10-1984,0.0935884,0.0944821,0.0929793,0.0929793,71728089
01-11-1984,0.0935884,0.0944821,0.0935884,0.0935884,56016700
02-11-1984,0.0935884,0.0938731,0.0923707,0.0929793,32969839
05-11-1984,0.0929793,0.0950518,0.0923707,0.0923707,125477462
06-11-1984,0.0980668,0.098676,0.0980668,0.0980668,268320092
07-11-1984,0.0980668,0.098676,0.0962794,0.0962794,275735616
08-11-1984,0.0962794,0.0962794,0.0923707,0.0923707,104937975
09-11-1984,0.0923707,0.0929793,0.0860848,0.0869883,350264567
12-11-1984,0.0899741,0.0905634,0.0899741,0.0899741,134866909
13-11-1984,0.0899741,0.0920757,0.087892,0.087892,150845046
14-11-1984,0.0887757,0.0896599,0.0887757,0.0887757,124250358
15-11-1984,0.0887757,0.0896599,0.0887757,0.0887757,126944516
16-11-1984,0.0887757,0.0899741,0.0863893,0.0869883,197392276
19-11-1984,0.0869883,0.0875876,0.0818714,0.0818714,277442768
20-11-1984,0.0845623,0.0848669,0.0845623,0.0845623,313480196
21-11-1984,0.0863893,0.0869883,0.0863893,0.0863893,212836831
23-11-1984,0.0875876,0.0899741,0.0875876,0.0887757,163248674
26-11-1984,0.0896599,0.0896599,0.0896599,0.0896599,119849135
27-11-1984,0.0920757,0.0929793,0.0920757,0.0920757,151725266
